,word,index,frequency
0,<start>,0,-13.77629976476179
1,a,1,0.0
2,.,2,-0.40493485397925255
3,on,3,-1.5140311128015913
4,of,4,-1.5729608524776721
5,the,5,-1.6092330554511145
6,in,6,-1.6766493093775212
7,with,7,-1.8569363317318053
8,and,8,-1.9659399358971021
9,is,9,-2.3000590312663394
10,man,10,-2.592239543091027
11,to,11,-2.670140253632774
12,sitting,12,-2.913730226096623
13,an,13,-2.9796672898588192
14,two,14,-3.0099433543475818
15,at,15,-3.132757591089559
16,standing,16,-3.134643866018197
17,people,17,-3.1479241458816545
18,are,18,-3.1680329474360094
19,",",19,-3.210046922551802
20,next,20,-3.26997274469725
21,white,21,-3.303698812589164
22,woman,22,-3.355954816227952
23,street,23,-3.4737676719204207
24,table,24,-3.4879580580216216
25,that,25,-3.5589873596726833
26,holding,26,-3.5596086025438036
27,it,27,-3.611872038216886
28,person,28,-3.6763001519123697
29,large,29,-3.681778714829686
30,some,30,-3.686166683951653
31,down,31,-3.7408195027671653
32,top,32,-3.783474376873467
33,group,33,-3.8048265144345677
34,field,34,-3.8434961578916087
35,up,35,-3.847095733721026
36,small,36,-3.885897451774318
37,tennis,37,-3.9065241267111985
38,near,38,-3.909995003353378
39,black,39,-3.9310241219740756
40,his,40,-3.9352728935682673
41,front,41,-3.938364580465898
42,train,42,-3.949963271414077
43,riding,43,-3.979785138229768
44,plate,44,-3.981232961180082
45,dog,45,-3.9854211566083166
46,room,46,-3.9858689345179585
47,cat,47,-4.0363905262024815
48,red,48,-4.040875897272917
49,young,49,-4.04312614989534
50,by,50,-4.054094309444954
51,water,51,-4.083101238103671
52,baseball,52,-4.13106494065344
53,playing,53,-4.187522957065362
54,has,54,-4.1945337769009665
55,walking,55,-4.20110796756274
56,bathroom,56,-4.208215020888854
57,while,57,-4.226776547471424
58,sign,58,-4.24917978951013
59,blue,59,-4.2751571929975825
60,kitchen,60,-4.287040606003984
61,food,61,-4.3019042509649825
62,grass,62,-4.320663036830265
63,there,63,-4.327415044895375
64,bus,64,-4.334927040051161
65,pizza,65,-4.347386269986158
66,parked,66,-4.350686735851967
67,green,67,-4.358945223401282
68,building,68,-4.370557096453123
69,side,69,-4.395626075303719
70,bed,70,-4.398413121573807
71,snow,71,-4.415128503083023
72,looking,72,-4.415902796578928
73,other,73,-4.416849970197767
74,beach,74,-4.446577635765527
75,ball,75,-4.464486423854973
76,couple,76,-4.466566648907573
77,three,77,-4.490295488864618
78,for,78,-4.493545712276562
79,boy,79,-4.499984403862074
80,men,80,-4.517359722949545
81,toilet,81,-4.519553019971452
82,clock,82,-4.5248174494544315
83,city,83,-4.545862691086485
84,flying,84,-4.556603297861582
85,road,85,-4.5617681881671395
86,skateboard,86,-4.595491195391645
