,word,index,frequency
0,<start>,0,-6.396929655216145
1,the,1,0.0
2,a,2,-0.12216763397420749
3,.,3,-0.5887871652357024
4,of,4,-0.6317385524313015
5,on,5,-0.9897578837560275
6,in,6,-0.9987669536983934
7,and,7,-1.1342394663112607
8,with,8,-1.3862943611198908
9,",",9,-1.5448993912965294
10,to,10,-1.7719568419318756
11,person,11,-1.8222186767127635
12,for,12,-1.8536348729461425
13,at,13,-1.8751410781671058
14,during,14,-2.2697952701710546
15,background,15,-2.302585092994046
16,white,16,-2.353878387381596
17,-,17,-2.426637741664025
18,is,18,-2.484906649788
19,artist,19,-2.5902671654458267
20,an,20,-2.612740021297885
21,from,21,-2.6592600369327783
22,by,22,-2.6833575885118384
23,premiere,23,-2.7593434954897607
24,actor,24,-2.7860117425719215
25,:,25,-2.8705691305999848
26,illustration,26,-2.8705691305999848
27,'s,27,-2.9311937524164193
28,this,28,-2.9957322735539913
29,her,29,-3.0296338252296726
30,city,30,-3.064725145040942
31,young,31,-3.101092789211817
32,his,32,-3.101092789211817
33,player,33,-3.101092789211817
34,as,34,-3.101092789211817
35,team,35,-3.1388331171946646
36,it,36,-3.1388331171946646
37,woman,37,-3.218875824868201
38,isolated,38,-3.3058872018578302
39,football,39,-3.3058872018578302
40,i,40,-3.3058872018578302
41,!,41,-3.352407217492723
42,vector,42,-3.352407217492723
43,that,43,-3.352407217492723
44,game,44,-3.401197381662155
45,against,45,-3.401197381662155
46,view,46,-3.401197381662155
47,over,47,-3.401197381662155
48,up,48,-3.401197381662155
49,image,49,-3.401197381662155
50,their,50,-3.452490676049706
51,out,51,-3.452490676049706
52,attends,52,-3.506557897319982
53,was,53,-3.506557897319982
54,film,54,-3.506557897319982
55,black,55,-3.506557897319982
56,water,56,-3.506557897319982
57,day,57,-3.506557897319982
58,man,58,-3.506557897319982
59,photo,59,-3.56371631115993
60,tree,60,-3.56371631115993
61,style,61,-3.56371631115993
62,you,62,-3.56371631115993
63,sports,63,-3.6243409329763647
64,or,64,-3.6243409329763647
65,night,65,-3.6243409329763647
66,people,66,-3.6243409329763647
67,performs,67,-3.6243409329763647
68,stage,68,-3.6243409329763647
69,your,69,-3.6243409329763647
70,time,70,-3.6243409329763647
